Term_ID,Term,p_value,intersection_size,avg_log2fc,intersecting_genes,calculated_intersection_count
GO:0007159,leukocyte cell-cell adhesion,0.0002777839461587161,7,3.733034610748291,"CD3E,LCK,RPS3,IL7R,ETS1,CD27,SKAP1",7
GO:0045061,thymic T cell selection,0.0003439287917486785,3,5.250919500986735,"CD3E,CD3D,CD3G",3
GO:0070233,negative regulation of T cell apoptotic process,0.0003818275554928324,3,4.565405289332072,"IL7R,BCL11B,CD27",3
GO:0070227,lymphocyte apoptotic process,0.0004409240657506959,4,4.726416885852814,"CD3G,IL7R,BCL11B,CD27",4
GO:2000106,regulation of leukocyte apoptotic process,0.0006266947840058728,4,4.726416885852814,"CD3G,IL7R,BCL11B,CD27",4
GO:0042254,ribosome biogenesis,0.0006906853432252792,6,1.1263440648714702,"RPS12,RPS25,RPS27,RPSA,RPS21,NPM1",6
GO:0022407,regulation of cell-cell adhesion,0.0007219115817318644,7,3.733034610748291,"CD3E,LCK,RPS3,IL7R,ETS1,CD27,SKAP1",7
GO:0070229,negative regulation of lymphocyte apoptotic process,0.0011451729240635593,3,4.565405289332072,"IL7R,BCL11B,CD27",3
GO:0033634,positive regulation of cell-cell adhesion mediated by integrin,0.0012245660321605486,2,4.220250129699707,"CD3E,SKAP1",2
GO:0002696,positive regulation of leukocyte activation,0.0012245660321605486,6,4.155660947163899,"CD3E,LCK,RPS3,IL7R,CD2,CD27",6
GO:0070232,regulation of T cell apoptotic process,0.0014760200994554328,3,4.565405289332072,"IL7R,BCL11B,CD27",3
GO:0050867,positive regulation of cell activation,0.001525828126386625,6,4.155660947163899,"CD3E,LCK,RPS3,IL7R,CD2,CD27",6
GO:0071887,leukocyte apoptotic process,0.0015697060323517128,4,4.726416885852814,"CD3G,IL7R,BCL11B,CD27",4
GO:0007155,cell adhesion,0.0018225564149404831,11,3.753134239803661,"CD3E,IL32,LCK,RPS3,IL7R,RPSA,CD2,ETS1,CD27,SPOCK2,SKAP1",11
GO:0030155,regulation of cell adhesion,0.0019564037556933913,8,3.71771577000618,"CD3E,LCK,RPS3,IL7R,ETS1,CD27,SPOCK2,SKAP1",8
GO:0032071,regulation of endodeoxyribonuclease activity,0.0020484514599830687,2,1.1660228371620178,"RPS3,NPM1",2
GO:0050870,positive regulation of T cell activation,0.00211710788168624,5,4.056538867950439,"CD3E,LCK,RPS3,IL7R,CD27",5
GO:0042255,ribosome assembly,0.0028263489087419426,3,1.237057050069173,"RPS27,RPSA,NPM1",3
GO:0032070,regulation of deoxyribonuclease activity,0.0030682430472977846,2,1.1660228371620178,"RPS3,NPM1",2
GO:2000107,negative regulation of leukocyte apoptotic process,0.0030682430472977846,3,4.565405289332072,"IL7R,BCL11B,CD27",3
GO:0019538,protein metabolic process,0.0030682430472977846,20,2.309863144159317,"CD3E,LCK,RPS3,RPS29,RPL3,RPS12,RPS25,RPL23A,RPS27,RPSA,GZMM,RPS18,RPS21,NOSIP,HSPA8,LAT,NPM1,SPOCK2,AAK1,CTSW",20
GO:0006915,apoptotic process,0.0030682430472977846,12,3.802226632833481,"CD3E,LCK,RPS3,CD3G,IL7R,GZMM,CD2,BCL11B,ETS1,CD27,NPM1,LTB",12
GO:0070231,T cell apoptotic process,0.0035428454797683724,3,4.565405289332072,"IL7R,BCL11B,CD27",3
GO:0033632,regulation of cell-cell adhesion mediated by integrin,0.0035428454797683724,2,4.220250129699707,"CD3E,SKAP1",2
GO:0034113,heterotypic cell-cell adhesion,0.0038340412427294913,3,4.212505499521892,"LCK,CD2,SKAP1",3
GO:0012501,programmed cell death,0.0038340412427294913,12,3.802226632833481,"CD3E,LCK,RPS3,CD3G,IL7R,GZMM,CD2,BCL11B,ETS1,CD27,NPM1,LTB",12
GO:0008219,cell death,0.003851756670112251,12,3.802226632833481,"CD3E,LCK,RPS3,CD3G,IL7R,GZMM,CD2,BCL11B,ETS1,CD27,NPM1,LTB",12
GO:0048518,positive regulation of biological process,0.00391265783889139,23,3.5470749036125513,"CD3E,IL32,CD3D,LCK,RPS3,CD3G,IL7R,EVL,RPS12,CD247,CD2,BCL11B,HSPA8,ETS1,LAT,CD27,RORA,NPM1,SPOCK2,AAK1,SYNE2,LTB,SKAP1",23
GO:0001819,positive regulation of cytokine production,0.00499138187575291,6,3.825831731160482,"CD3E,IL32,RPS3,CD2,RORA,LTB",6
GO:0042981,regulation of apoptotic process,0.005230545648547181,10,3.5931641697883605,"CD3E,LCK,RPS3,CD3G,IL7R,BCL11B,ETS1,CD27,NPM1,LTB",10
GO:0034116,positive regulation of heterotypic cell-cell adhesion,0.005254418728814531,2,3.9931225776672363,"LCK,SKAP1",2
GO:0010628,positive regulation of gene expression,0.005254418728814531,9,3.5624932050704956,"CD3E,IL32,RPS3,IL7R,CD2,ETS1,RORA,NPM1,LTB",9
GO:0051251,positive regulation of lymphocyte activation,0.0057041550863299074,5,4.056538867950439,"CD3E,LCK,RPS3,IL7R,CD27",5
GO:0098609,cell-cell adhesion,0.0057041550863299074,8,3.847814202308655,"CD3E,LCK,RPS3,IL7R,CD2,ETS1,CD27,SKAP1",8
GO:0043067,regulation of programmed cell death,0.006049831400712454,10,3.5931641697883605,"CD3E,LCK,RPS3,CD3G,IL7R,BCL11B,ETS1,CD27,NPM1,LTB",10
GO:0045580,regulation of T cell differentiation,0.006200190586188114,4,4.421174228191376,"IL7R,TCF7,CD2,CD27",4
GO:0000028,ribosomal small subunit assembly,0.006412460387964385,2,1.3191729187965393,"RPS27,RPSA",2
GO:0033631,cell-cell adhesion mediated by integrin,0.007150448707100423,2,4.220250129699707,"CD3E,SKAP1",2
GO:0048583,regulation of response to stimulus,0.007150448707100423,17,3.3591095349367928,"CD3E,CD3D,LCK,RPS3,CD3G,IL7R,RPS12,CD247,HSPA8,ETS1,LAT,CD27,RORA,NPM1,AAK1,LTB,SKAP1",17
GO:0050862,positive regulation of T cell receptor signaling pathway,0.00786141687491233,2,3.020804286003113,"LCK,RPS3",2
GO:0002520,immune system development,0.008150901389680533,4,4.3371387124061584,"CD3E,IL7R,BCL11B,LTB",4
GO:0048535,lymph node development,0.008569229813465286,2,3.7100690603256226,"IL7R,LTB",2
GO:0032069,regulation of nuclease activity,0.009399330773939046,2,1.1660228371620178,"RPS3,NPM1",2
GO:0045619,regulation of lymphocyte differentiation,0.010318601134098262,4,4.421174228191376,"IL7R,TCF7,CD2,CD27",4
GO:0051240,positive regulation of multicellular organismal process,0.011102078070953184,10,3.938651204109192,"CD3E,IL32,LCK,RPS3,IL7R,CD2,ETS1,CD27,RORA,LTB",10
GO:0033630,positive regulation of cell adhesion mediated by integrin,0.011102078070953184,2,4.220250129699707,"CD3E,SKAP1",2
GO:0034114,regulation of heterotypic cell-cell adhesion,0.011916581708281327,2,3.9931225776672363,"LCK,SKAP1",2
GO:0048534,hematopoietic or lymphoid organ development,0.012292921419634674,3,4.0373038450876875,"IL7R,BCL11B,LTB",3
GO:0050857,positive regulation of antigen receptor-mediated signaling pathway,0.014921128345920697,2,3.020804286003113,"LCK,RPS3",2
GO:1903706,regulation of hemopoiesis,0.015076345075665043,5,4.0658775806427006,"IL7R,TCF7,CD2,ETS1,CD27",5
GO:0007165,signal transduction,0.015076345075665043,21,3.6011304685047696,"CD3E,IL32,CD3D,LCK,RPS3,CD3G,IL7R,CD7,EVL,RPS12,CD247,TCF7,CD2,HSPA8,LAT,CD27,RORA,NPM1,AAK1,LTB,SKAP1",21
GO:0038094,Fc-gamma receptor signaling pathway,0.021894284245800495,2,4.671994924545288,"LCK,CD247",2
GO:0002443,leukocyte mediated immunity,0.02203594716433784,5,4.510097646713257,"IL7R,GZMM,CD2,LAT,CD27",5
GO:0010811,positive regulation of cell-substrate adhesion,0.02203594716433784,3,4.0169947147369385,"CD3E,SPOCK2,SKAP1",3
GO:0071353,cellular response to interleukin-4,0.022140411225302543,2,2.6032920479774475,"RPL3,TCF7",2
GO:0060735,regulation of eIF2 alpha phosphorylation by dsRNA,0.022140411225302543,1,1.072825312614441,NPM1,1
GO:0061481,response to TNF agonist,0.022140411225302543,1,1.2592203617095947,RPS3,1
GO:0071678,olfactory bulb axon guidance,0.022140411225302543,1,4.691773414611816,BCL11B,1
GO:0000461,"endonucleolytic cleavage to generate mature 3'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",0.022140411225302543,1,1.009616494178772,RPS21,1
GO:0032743,positive regulation of interleukin-2 production,0.022140411225302543,2,3.2479318380355835,"CD3E,RPS3",2
GO:1902629,regulation of mRNA stability involved in cellular response to UV,0.022140411225302543,1,1.072825312614441,NPM1,1
GO:1990832,slow axonal transport,0.022140411225302543,1,1.4021910429000854,HSPA8,1
GO:1904764,chaperone-mediated autophagy translocation complex disassembly,0.022140411225302543,1,1.4021910429000854,HSPA8,1
GO:0002252,immune effector process,0.02294711548403449,6,4.476001699765523,"IL7R,GZMM,CD2,LAT,CD27,RORA",6
GO:0001909,leukocyte mediated cytotoxicity,0.02453215486548081,3,5.028336683909099,"IL7R,GZMM,CD2",3
GO:0051239,regulation of multicellular organismal process,0.02490937590195128,13,3.815978710467999,"CD3E,IL32,LCK,RPS3,IL7R,EVL,TCF7,CD2,ETS1,LAT,CD27,RORA,LTB",13
GO:2001235,positive regulation of apoptotic signaling pathway,0.025010041177563534,3,2.69060484568278,"LCK,RPS3,LTB",3
GO:0070670,response to interleukin-4,0.025010041177563534,2,2.6032920479774475,"RPL3,TCF7",2
GO:0048522,positive regulation of cellular process,0.028633961217686008,20,3.4832208275794985,"CD3E,IL32,LCK,RPS3,IL7R,EVL,RPS12,CD247,CD2,BCL11B,ETS1,LAT,CD27,RORA,NPM1,SPOCK2,AAK1,SYNE2,LTB,SKAP1",20
GO:0001817,regulation of cytokine production,0.03314539552767388,6,3.825831731160482,"CD3E,IL32,RPS3,CD2,RORA,LTB",6
GO:0001816,cytokine production,0.03436875029325794,6,3.825831731160482,"CD3E,IL32,RPS3,CD2,RORA,LTB",6
GO:1902105,regulation of leukocyte differentiation,0.035416617825079225,4,4.421174228191376,"IL7R,TCF7,CD2,CD27",4
GO:0023052,signaling,0.03611630744870053,21,3.6011304685047696,"CD3E,IL32,CD3D,LCK,RPS3,CD3G,IL7R,CD7,EVL,RPS12,CD247,TCF7,CD2,HSPA8,LAT,CD27,RORA,NPM1,AAK1,LTB,SKAP1",21
GO:0050856,regulation of T cell receptor signaling pathway,0.03647744185315521,2,3.020804286003113,"LCK,RPS3",2
GO:0007154,cell communication,0.036861282488452565,21,3.6011304685047696,"CD3E,IL32,CD3D,LCK,RPS3,CD3G,IL7R,CD7,EVL,RPS12,CD247,TCF7,CD2,HSPA8,LAT,CD27,RORA,NPM1,AAK1,LTB,SKAP1",21
GO:0038111,interleukin-7-mediated signaling pathway,0.036861282488452565,1,5.389932155609131,IL7R,1
GO:0031295,T cell costimulation,0.036861282488452565,2,5.009515762329102,"CD3E,LCK",2
GO:1905053,positive regulation of base-excision repair,0.036861282488452565,1,1.2592203617095947,RPS3,1
GO:0034346,positive regulation of type III interferon production,0.036861282488452565,1,5.472127437591553,IL32,1
GO:0050896,response to stimulus,0.036861282488452565,26,3.569250198510977,"CD3E,IL32,CD3D,LCK,RPS3,CD3G,IL7R,RPL3,CD7,EVL,RPS12,CD247,TCF7,GZMM,CD2,HSPA8,ETS1,LAT,CD27,RORA,NPM1,SPOCK2,AAK1,CTSW,LTB,SKAP1",26
GO:0030887,positive regulation of myeloid dendritic cell activation,0.036861282488452565,1,4.651271343231201,CD2,1
GO:0097535,lymphoid lineage cell migration into thymus,0.036861282488452565,1,4.691773414611816,BCL11B,1
GO:0031022,nuclear migration along microfilament,0.036861282488452565,1,3.710944414138794,SYNE2,1
GO:0097534,lymphoid lineage cell migration,0.036861282488452565,1,4.691773414611816,BCL11B,1
GO:0033628,regulation of cell adhesion mediated by integrin,0.037748867265882495,2,4.220250129699707,"CD3E,SKAP1",2
GO:0031294,lymphocyte costimulation,0.03897014032259254,2,5.009515762329102,"CD3E,LCK",2
GO:0002449,lymphocyte mediated immunity,0.04549657367440934,4,4.674880087375641,"IL7R,GZMM,CD2,CD27",4
GO:0071345,cellular response to cytokine stimulus,0.045891699077852226,6,3.2952904105186462,"RPS3,IL7R,RPL3,TCF7,RORA,SPOCK2",6
GO:0001913,T cell mediated cytotoxicity,0.045891699077852226,2,5.216869354248047,"IL7R,GZMM",2
GO:0038093,Fc receptor signaling pathway,0.04682490746134076,2,4.671994924545288,"LCK,CD247",2
GO:0001954,positive regulation of cell-matrix adhesion,0.04682490746134076,2,4.220250129699707,"CD3E,SKAP1",2
GO:0061738,late endosomal microautophagy,0.0497557488740051,1,1.4021910429000854,HSPA8,1
GO:1904589,regulation of protein import,0.0497557488740051,1,1.4021910429000854,HSPA8,1
GO:0061740,protein targeting to lysosome involved in chaperone-mediated autophagy,0.0497557488740051,1,1.4021910429000854,HSPA8,1
GO:0021817,nucleokinesis involved in cell motility in cerebral cortex radial glia guided migration,0.0497557488740051,1,3.710944414138794,SYNE2,1
GO:0097190,apoptotic signaling pathway,0.0497557488740051,5,3.384593629837036,"CD3E,LCK,RPS3,CD27,LTB",5
GO:1905051,regulation of base-excision repair,0.0497557488740051,1,1.2592203617095947,RPS3,1
GO:0002460,adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,0.0497557488740051,4,4.588442742824554,"IL7R,GZMM,CD27,RORA",4
GO:2001244,positive regulation of intrinsic apoptotic signaling pathway,0.051829132712608236,2,3.020804286003113,"LCK,RPS3",2
GO:0006952,defense response,0.051829132712608236,9,4.171433064672682,"IL32,LCK,IL7R,GZMM,CD2,HSPA8,ETS1,LAT,RORA",9
GO:0032623,interleukin-2 production,0.052754824084984796,2,3.2479318380355835,"CD3E,RPS3",2
GO:0032663,regulation of interleukin-2 production,0.052754824084984796,2,3.2479318380355835,"CD3E,RPS3",2
GO:0031334,positive regulation of protein-containing complex assembly,0.0538385247481065,3,2.2681125005086265,"RPS3,EVL,SKAP1",3
GO:1901224,positive regulation of non-canonical NF-kappaB signal transduction,0.05534412923294578,2,2.4368653297424316,"RPS3,CD27",2
GO:0050854,regulation of antigen receptor-mediated signaling pathway,0.056647393986411755,2,3.020804286003113,"LCK,RPS3",2
GO:0140694,membraneless organelle assembly,0.05782801118180413,4,1.2425978779792786,"RPS3,RPS27,RPSA,NPM1",4
GO:0032079,positive regulation of endodeoxyribonuclease activity,0.05914814109477198,1,1.2592203617095947,RPS3,1
GO:0001766,membrane raft polarization,0.05914814109477198,1,4.651271343231201,CD2,1
GO:0002568,somatic diversification of T cell receptor genes,0.05914814109477198,1,4.691773414611816,BCL11B,1
GO:1905636,positive regulation of RNA polymerase II regulatory region sequence-specific DNA binding,0.05914814109477198,1,5.472127437591553,IL32,1
GO:0002681,somatic recombination of T cell receptor gene segments,0.05914814109477198,1,4.691773414611816,BCL11B,1
GO:0033153,T cell receptor V(D)J recombination,0.05914814109477198,1,4.691773414611816,BCL11B,1
GO:0060699,regulation of endoribonuclease activity,0.05914814109477198,1,1.072825312614441,NPM1,1
GO:0010825,positive regulation of centrosome duplication,0.05914814109477198,1,1.072825312614441,NPM1,1
GO:0021773,striatal medium spiny neuron differentiation,0.05914814109477198,1,4.691773414611816,BCL11B,1
GO:0010557,positive regulation of macromolecule biosynthetic process,0.060065172801951776,11,3.63255174593492,"CD3E,IL32,RPS3,IL7R,CD2,BCL11B,ETS1,RORA,NPM1,LTB,SKAP1",11
GO:0010810,regulation of cell-substrate adhesion,0.060742480339872604,3,4.0169947147369385,"CD3E,SPOCK2,SKAP1",3
GO:0034097,response to cytokine,0.06188143643974749,6,3.2952904105186462,"RPS3,IL7R,RPL3,TCF7,RORA,SPOCK2",6
GO:0043254,regulation of protein-containing complex assembly,0.06188143643974749,4,2.051632136106491,"RPS3,EVL,HSPA8,SKAP1",4
GO:0001906,cell killing,0.0623201220377022,3,5.028336683909099,"IL7R,GZMM,CD2",3
GO:0006809,nitric oxide biosynthetic process,0.0623201220377022,2,3.489918828010559,"NOSIP,RORA",2
GO:0009967,positive regulation of signal transduction,0.06252041992435571,8,3.1933863908052444,"CD3E,LCK,RPS3,IL7R,RPS12,CD27,AAK1,LTB",8
GO:0030578,PML body organization,0.06412597700705258,1,2.644690990447998,ETS1,1
GO:0032077,positive regulation of deoxyribonuclease activity,0.06412597700705258,1,1.2592203617095947,RPS3,1
GO:0030885,regulation of myeloid dendritic cell activation,0.06412597700705258,1,4.651271343231201,CD2,1
GO:0045595,regulation of cell differentiation,0.06412597700705258,8,4.117145895957947,"IL7R,TCF7,CD2,BCL11B,ETS1,CD27,RORA,SPOCK2",8
GO:0044087,regulation of cellular component biogenesis,0.06412597700705258,6,2.1650497118631997,"RPS3,EVL,HSPA8,NPM1,SYNE2,SKAP1",6
GO:0030473,nuclear migration along microtubule,0.06412597700705258,1,3.710944414138794,SYNE2,1
GO:0006364,rRNA processing,0.06412597700705258,3,1.0769764582316081,"RPS25,RPS27,RPS21",3
GO:0032729,positive regulation of type II interferon production,0.06412597700705258,2,4.943957328796387,"CD3E,CD2",2
GO:1901652,response to peptide,0.06412597700705258,6,3.2952904105186462,"RPS3,IL7R,RPL3,TCF7,RORA,SPOCK2",6
GO:0002913,positive regulation of lymphocyte anergy,0.06412597700705258,1,5.236643314361572,CD3E,1
GO:0034344,regulation of type III interferon production,0.06412597700705258,1,5.472127437591553,IL32,1
GO:0034343,type III interferon production,0.06412597700705258,1,5.472127437591553,IL32,1
GO:0002669,positive regulation of T cell anergy,0.06412597700705258,1,5.236643314361572,CD3E,1
GO:0051001,negative regulation of nitric-oxide synthase activity,0.06412597700705258,1,2.6743156909942627,NOSIP,1
GO:0021815,modulation of microtubule cytoskeleton involved in cerebral cortex radial glia guided migration,0.06412597700705258,1,3.710944414138794,SYNE2,1
GO:0002260,lymphocyte homeostasis,0.06412597700705258,2,4.620450019836426,"IL7R,LAT",2
GO:0006163,purine nucleotide metabolic process,0.06412597700705258,4,2.5691857039928436,"LDHB,GIMAP7,HSPA8,RORA",4
GO:0009891,positive regulation of biosynthetic process,0.06942945285967068,11,3.63255174593492,"CD3E,IL32,RPS3,IL7R,CD2,BCL11B,ETS1,RORA,NPM1,LTB,SKAP1",11
GO:0046209,nitric oxide metabolic process,0.06962948746629156,2,3.489918828010559,"NOSIP,RORA",2
GO:2001057,reactive nitrogen species metabolic process,0.07014137799779635,2,3.489918828010559,"NOSIP,RORA",2
GO:0033627,cell adhesion mediated by integrin,0.07014137799779635,2,4.220250129699707,"CD3E,SKAP1",2
GO:0002274,myeloid leukocyte activation,0.07014137799779635,3,4.269253730773926,"CD2,LAT,RORA",3
GO:0044387,negative regulation of protein kinase activity by regulation of protein phosphorylation,0.07325724072460295,1,1.072825312614441,NPM1,1
GO:1904751,positive regulation of protein localization to nucleolus,0.07325724072460295,1,1.072825312614441,NPM1,1
GO:0071211,protein targeting to vacuole involved in autophagy,0.07325724072460295,1,1.4021910429000854,HSPA8,1
GO:0021902,commitment of neuronal cell to specific neuron type in forebrain,0.07325724072460295,1,4.691773414611816,BCL11B,1
GO:0008589,regulation of smoothened signaling pathway,0.07988354603015384,2,4.771082639694214,"CD3E,RORA",2
GO:1903025,regulation of RNA polymerase II regulatory region sequence-specific DNA binding,0.08034004723540353,1,5.472127437591553,IL32,1
GO:0021814,cell motility involved in cerebral cortex radial glia guided migration,0.08034004723540353,1,3.710944414138794,SYNE2,1
GO:0021877,forebrain neuron fate commitment,0.08034004723540353,1,4.691773414611816,BCL11B,1
GO:0031580,membrane raft distribution,0.08034004723540353,1,4.651271343231201,CD2,1
GO:1900028,negative regulation of ruffle assembly,0.08034004723540353,1,2.3412601947784424,EVL,1
GO:0060700,regulation of ribonuclease activity,0.08034004723540353,1,1.072825312614441,NPM1,1
GO:0032273,positive regulation of protein polymerization,0.08034004723540353,2,1.8002402782440186,"RPS3,EVL",2
GO:0032075,positive regulation of nuclease activity,0.08034004723540353,1,1.2592203617095947,RPS3,1
GO:0031077,post-embryonic camera-type eye development,0.08034004723540353,1,4.691773414611816,BCL11B,1
